median,iqr
0.09281021,0.08094213366508483
0.62703764,0.03049708366394043
0.12934524,0.22790504455566407
0.47896963,0.10743410348892211
0.21461506,0.31093538761138917
0.10246658,0.20477763772010804
0.10246658,0.20477763772010804
0.18479243,0.19468672037124635
0.14782631,0.025049397945404055
0.13067493,0.14295304775238038
0.34124613,0.1871797388792038
0.6478263,0.025049397945404055
0.6478263,0.023001888990402224
0.6478263,0.023001888990402224
0.6478263,0.023001888990402224
0.6478263,0.023001888990402224
0.6478263,0.023001888990402224
0.34552982,0.1128471291065216
0.24264786,0.1366446113586426
0.5303896,0.27281753182411195
0.6478263,0.025049397945404055
0.6478263,0.023001888990402224
0.6478263,0.025049397945404055
0.05539924,0.07252062320709228
0.6478263,0.023001888990402224
0.3521737,0.025049397945404055
0.6478263,0.023001888990402224
0.3521737,0.025049397945404055
0.6478263,0.025049397945404055
0.3521737,0.025049397945404055
0.6478263,0.025049397945404055
0.3521737,0.025049397945404055
0.6478263,0.025049397945404055
0.3521737,0.025049397945404055
0.6478263,0.025049397945404055
0.3521737,0.025049397945404055
0.6478263,0.023001888990402224
0.35682857,0.3071891760826111
0.6478263,0.025049397945404055
0.3521737,0.025049397945404055
0.6478263,0.025049397945404055
0.3521737,0.025049397945404055
0.6478263,0.023001888990402224
0.3521737,0.025049397945404055
0.6478263,0.023001888990402224
0.6478263,0.023001888990402224
0.6478263,0.023001888990402224
0.3521737,0.025049397945404055
0.6422705,0.08809412479400634
0.6478263,0.023001888990402224
0.6478263,0.023001888990402224
