min,max
2.3841858e-07,0.6120147
0.0010735393,0.6683234
2.3245811e-05,0.65984637
0.30646947,0.6683234
1.0967255e-05,0.6140222
0.00034421682,0.2683234
0.00034421682,0.2683234
2.2470951e-05,0.4009623
0.009076357,0.4183234
7.56979e-06,0.35444826
1.6272068e-05,0.65469193
0.3316766,0.6683234
0.63407636,0.6683234
0.63407636,0.6683234
0.63407636,0.6683234
0.63407636,0.6683234
0.63407636,0.6683234
0.113456786,0.635044
2.2232533e-05,0.6666341
0.00012427568,0.6683234
0.14317143,0.6683234
0.63407636,0.6683234
0.340069,0.6683234
1.4066696e-05,0.6504022
0.63407636,0.6683234
0.13407636,0.6683234
0.63407636,0.6683234
0.13407636,0.6683234
0.3344065,0.6683234
0.14753342,0.6683234
0.14317143,0.6683234
0.3316766,0.6683234
0.3344065,0.6683234
0.13407636,0.6683234
0.3316766,0.6683234
0.3316766,0.6683234
0.63407636,0.6683234
0.13407636,0.6683234
0.15875387,0.6683234
0.13407636,0.6683234
0.3316766,0.6683234
0.15520728,0.6683234
0.63407636,0.6683234
0.3316766,0.6683234
0.63407636,0.6683234
0.63407636,0.6683234
0.63407636,0.6683234
0.14370447,0.6683234
0.0025964975,0.6674225
0.63407636,0.6683234
0.63407636,0.6683234
