name,score_max
POT_CCM,1.350879044157652
TURB1,1.6849163002580798
CAUDAL_PURGA,0.2275417990810274
REDOX_SAL,1.796373943086702
CLORO_SAL,0.7586293188224397
CAUDAL_TERCIARIO,1.7178576126799432
FT1,1.0515176774988109
pH_Entrada,2.511701867539916
SH2_AguaBruta,1.7643637033738915
SH2_Pretratamiento,0.727454929678357
POT_CCM3,0.949736981935236
Redox_Bio_Lin_1,1.412906889697161
Redox_Bio_Lin_2,1.2385657765967264
reserva4,1.7404748788328834
ODZ3_L2,2.6866701705586844
SAB,1.718401328065922
FT10,1.6810302685738971
TT5,1.2758719319597864
TT6,1.2767745609956656
SM2,6.842806905715627
SM3,0.9442105480204712
SN1,0.16771243865000257
SAB2,1.910326944767679
CLOR2,1.7826747294184506
POTASIO2,1.292880107519797
REe,1.0226680175179537
TT7,1.8830841061717603
TT8,1.713889737096535
FT11,0.8094605223639693
FT12,1.6815776533460867
FIT13_PLC4,0.23008482769467592
