min,max
2.026558e-06,0.8234863
0.0,0.76208496
0.0,0.6933594
1.616776e-06,0.90918696
2.2605062e-05,0.93566895
1.7881393e-06,0.6923828
0.0,0.80163574
6.556511e-06,0.6923828
3.6358833e-06,0.930603
1.0445714e-05,0.9130249
7.748604e-07,0.5632324
2.1457672e-06,0.69188386
5.543232e-06,0.7013525
1.32620335e-05,0.63823205
6.5416098e-06,0.77835244
5.155802e-06,0.91386676
0.017101973,0.93292457
5.4836273e-06,0.5715332
1.9967556e-06,0.55533606
9.030104e-06,0.64331055
0.0007324219,0.61083984
1.7635524e-05,0.9307251
1.9520521e-06,0.9222092
8.583069e-06,0.67626953
2.0712614e-06,0.732666
1.2934208e-05,0.52368164
8.940697e-08,0.6157794
6.556511e-07,0.6029906
0.011533596,0.9304199
0.014312953,0.93579084
1.3113022e-06,0.6928711
