median,iqr
0.061016947,0.08081355154514312
0.087664574,0.0913530832529068
0.14444272,0.09429014682769775
0.115804784,0.12861236207187177
0.043386955,0.02072805840522051
0.2161446,0.25262019991874696
0.23604327,0.20122540950775147
0.17979687,0.14628874719142915
0.05547318,0.03265972644090653
0.06106034,0.02741156913340092
0.07935619,0.09695663511753082
0.12555593,0.16619271993637086
0.19613755,0.17683540493249894
0.1620374,0.18349709570407868
0.13484901,0.14003362342715264
0.16613209,0.16520344115793706
0.4261871,0.22116729080677033
0.13086535,0.14016358762979508
0.13411641,0.15137604087591172
0.02993244,0.04722822666168213
0.088134766,0.109365234375
0.06707628,0.017873535156250002
0.13689134,0.14022404164075852
0.13992578,0.12559492349624635
0.06602451,0.07395520269870758
0.011335224,0.017324218750000002
0.12985732,0.16350060909986497
0.14342417,0.1718081033229828
0.06989567,0.017690429687500002
0.4260728,0.22097245812416078
0.14265561,0.09446460962295532
