source,target,weight,edge_in_prob_v,edge_out_prob_u
0,1,0.031178812,0.65643805,0.65643805
0,2,0.028963586,0.65643805,0.65643805
0,3,0.03947199,0.65643805,0.65643805
0,4,0.04098712,0.65643805,0.65643805
0,5,0.025614832,0.65643805,0.65643805
0,6,0.034164418,0.65643805,0.65643805
0,7,0.036353737,0.65643805,0.65643805
0,8,0.03918953,0.65643805,0.65643805
0,9,0.04060937,0.65643805,0.65643805
0,10,0.025506692,0.65643805,0.65643805
0,11,0.034192007,0.65643805,0.65643805
0,12,0.039156675,0.65643805,0.65643805
0,13,0.02920307,0.65643805,0.65643805
0,14,0.040540908,0.65643805,0.65643805
0,15,0.025634704,0.65643805,0.65643805
0,16,0.041296985,0.65643805,0.65643805
0,17,0.028107343,0.65643805,0.65643805
0,18,0.031603552,0.65643805,0.65643805
0,19,0.026332682,0.65643805,0.65643805
0,20,0.02556616,0.65643805,0.65643805
0,21,0.04124051,0.65643805,0.65643805
0,22,0.037683643,0.65643805,0.65643805
0,23,0.032198176,0.65643805,0.65643805
0,24,0.034125894,0.65643805,0.65643805
0,25,0.025731666,0.65643805,0.65643805
0,26,0.025616147,0.65643805,0.65643805
0,27,0.028285,0.65643805,0.65643805
0,28,0.041276388,0.65643805,0.65643805
0,29,0.04129504,0.65643805,0.65643805
0,30,0.028873455,0.65643805,0.65643805
1,0,0.03640625,0.65643805,0.65643805
1,2,0.029657828,0.65643805,0.65643805
1,3,0.035201002,0.65643805,0.65643805
1,4,0.015669033,0.65643805,0.65643805
1,5,0.036833555,0.65643805,0.65643805
1,6,0.05863407,0.65643805,0.65643805
1,7,0.03329457,0.65643805,0.65643805
1,8,0.038412016,0.65643805,0.65643805
1,9,0.019011032,0.65643805,0.65643805
1,10,0.040214457,0.65643805,0.65643805
1,11,0.058984004,0.65643805,0.65643805
1,12,0.039651647,0.65643805,0.65643805
1,13,0.02930734,0.65643805,0.65643805
1,14,0.0197921,0.65643805,0.65643805
1,15,0.035489753,0.65643805,0.65643805
1,16,0.014080918,0.65643805,0.65643805
1,17,0.030660065,0.65643805,0.65643805
1,18,0.02767435,0.65643805,0.65643805
1,19,0.053133864,0.65643805,0.65643805
1,20,0.037640486,0.65643805,0.65643805
1,21,0.014313199,0.65643805,0.65643805
1,22,0.051020097,0.65643805,0.65643805
1,23,0.027340945,0.65643805,0.65643805
1,24,0.05903268,0.65643805,0.65643805
1,25,0.03389021,0.65643805,0.65643805
1,26,0.03618073,0.65643805,0.65643805
1,27,0.030458538,0.65643805,0.65643805
1,28,0.014173299,0.65643805,0.65643805
1,29,0.014068629,0.65643805,0.65643805
1,30,0.029773435,0.65643805,0.65643805
2,0,0.04168871,0.65643805,0.65643805
2,1,0.038548518,0.65643805,0.65643805
2,3,0.04140697,0.65643805,0.65643805
2,4,0.034184832,0.65643805,0.65643805
2,5,0.031415146,0.65643805,0.65643805
2,6,0.03833689,0.65643805,0.65643805
2,7,0.02242119,0.65643805,0.65643805
2,8,0.04217344,0.65643805,0.65643805
2,9,0.03635086,0.65643805,0.65643805
2,10,0.032462835,0.65643805,0.65643805
2,11,0.03888943,0.65643805,0.65643805
2,12,0.042261567,0.65643805,0.65643805
2,13,0.024962068,0.65643805,0.65643805
2,14,0.036749028,0.65643805,0.65643805
2,15,0.030980837,0.65643805,0.65643805
2,16,0.032668687,0.65643805,0.65643805
2,17,0.026371827,0.65643805,0.65643805
2,18,0.0227868,0.65643805,0.65643805
2,19,0.036842696,0.65643805,0.65643805
2,20,0.031640727,0.65643805,0.65643805
2,21,0.03293452,0.65643805,0.65643805
2,22,0.043888114,0.65643805,0.65643805
2,23,0.022355787,0.65643805,0.65643805
2,24,0.039054632,0.65643805,0.65643805
2,25,0.03051908,0.65643805,0.65643805
2,26,0.031192679,0.65643805,0.65643805
2,27,0.02612431,0.65643805,0.65643805
2,28,0.032776836,0.65643805,0.65643805
2,29,0.03265852,0.65643805,0.65643805
2,30,0.025352485,0.65643805,0.65643805
3,0,0.039495185,0.65643805,0.65643805
3,1,0.03040376,0.65643805,0.65643805
3,2,0.028799865,0.65643805,0.65643805
3,4,0.04197336,0.65643805,0.65643805
3,5,0.025403071,0.65643805,0.65643805
3,6,0.033314236,0.65643805,0.65643805
3,7,0.03602504,0.65643805,0.65643805
3,8,0.03920884,0.65643805,0.65643805
3,9,0.041376926,0.65643805,0.65643805
3,10,0.025253901,0.65643805,0.65643805
3,11,0.033319242,0.65643805,0.65643805
3,12,0.03913434,0.65643805,0.65643805
3,13,0.0290436,0.65643805,0.65643805
3,14,0.04126612,0.65643805,0.65643805
3,15,0.025441,0.65643805,0.65643805
3,16,0.042422846,0.65643805,0.65643805
3,17,0.027936453,0.65643805,0.65643805
3,18,0.031459883,0.65643805,0.65643805
3,19,0.025862942,0.65643805,0.65643805
3,20,0.025345419,0.65643805,0.65643805
3,21,0.042343676,0.65643805,0.65643805
3,22,0.03724733,0.65643805,0.65643805
3,23,0.032060016,0.65643805,0.65643805
3,24,0.033253096,0.65643805,0.65643805
3,25,0.025557315,0.65643805,0.65643805
3,26,0.02541349,0.65643805,0.65643805
3,27,0.028115109,0.65643805,0.65643805
3,28,0.042393196,0.65643805,0.65643805
3,29,0.042422086,0.65643805,0.65643805
3,30,0.028708585,0.65643805,0.65643805
4,0,0.03962063,0.65643805,0.65643805
4,1,0.019924637,0.65643805,0.65643805
4,2,0.02330065,0.65643805,0.65643805
4,3,0.040603418,0.65643805,0.65643805
4,5,0.020546349,0.65643805,0.65643805
4,6,0.02106442,0.65643805,0.65643805
4,7,0.026316034,0.65643805,0.65643805
4,8,0.037934326,0.65643805,0.65643805
4,9,0.05928254,0.65643805,0.65643805
4,10,0.020103673,0.65643805,0.65643805
4,11,0.020938192,0.65643805,0.65643805
4,12,0.036985226,0.65643805,0.65643805
4,13,0.02351928,0.65643805,0.65643805
4,14,0.05796226,0.65643805,0.65643805
4,15,0.02073564,0.65643805,0.65643805
4,16,0.07047599,0.65643805,0.65643805
4,17,0.02262856,0.65643805,0.65643805
4,18,0.02540688,0.65643805,0.65643805
4,19,0.019081146,0.65643805,0.65643805
4,20,0.02042847,0.65643805,0.65643805
4,21,0.06977175,0.65643805,0.65643805
4,22,0.02823588,0.65643805,0.65643805
4,23,0.025903925,0.65643805,0.65643805
4,24,0.020905184,0.65643805,0.65643805
4,25,0.021001775,0.65643805,0.65643805
4,26,0.02063455,0.65643805,0.65643805
4,27,0.022761302,0.65643805,0.65643805
4,28,0.07019503,0.65643805,0.65643805
4,29,0.070508175,0.65643805,0.65643805
