sensor,min,max
POT_CCM,6.163194179534912,300.0
TURB1,0.0,10.0
CAUDAL_PURGA,0.0318287052214145,23.203125
REDOX_SAL,268.22918701171875,811.4583740234375
CLORO_SAL,0.0,10.0
CAUDAL_TERCIARIO,0.347222238779068,1180.5555419921875
FT1,0.0,2100.0
pH_Entrada,3.107060194015503,9.183448791503906
SH2_AguaBruta,0.2893518507480621,141.05902099609375
SH2_Pretratamiento,0.0,64.2361068725586
POT_CCM3,17.36111068725586,319.6759338378906
Redox_Bio_Lin_1,-96.3541259765625,297.7430419921875
Redox_Bio_Lin_2,-174.4791259765625,64.236083984375
reserva4,16.608795166015625,100.0
ODZ3_L2,0.2517361044883728,0.361689805984497
SAB,0.2288773208856582,14.061112403869627
FT10,0.173611119389534,133.0729217529297
TT5,40.91435241699219,66.95601654052734
TT6,38.74421310424805,62.09490966796875
SM2,0.0,5.46875
SM3,0.0,0.1157407388091087
SN1,0.0289351847022771,5.237268447875977
SAB2,0.1157407388091087,18.258102416992188
CLOR2,234.375,478.8773193359375
POTASIO2,28.93518447875977,80.15045928955078
REe,-7451.9501953125,7440.408203125
TT7,32.7256965637207,62.5868034362793
TT8,34.33159637451172,63.23784637451172
FT11,0.0034722222480922,1.2447916269302368
FT12,0.086805559694767,130.859375
FIT13_PLC4,0.0318287052214145,23.29861068725586
