min,max
1.5974045e-05,0.29387718
0.34545073,0.6475004
3.1411648e-05,0.6475004
0.42902407,0.54762024
0.0026734471,0.64355403
0.028784335,0.5007406
0.028784335,0.5007406
0.013043642,0.4640513
0.23418844,0.64584476
0.0007238388,0.3794676
7.6532364e-05,0.6339471
0.62878436,0.6475004
0.62878436,0.6475004
0.62878436,0.6475004
0.62878436,0.6475004
0.62878436,0.6475004
0.62878436,0.6475004
0.14777201,0.3680501
0.3973654,0.529257
0.22854614,0.5575659
0.62878436,0.6475004
0.62878436,0.6475004
0.62878436,0.6475004
0.13797364,0.37121564
0.62878436,0.6475004
0.3524996,0.6475004
0.62878436,0.6475004
0.3524996,0.6475004
0.62878436,0.6475004
0.3524996,0.6475004
0.62878436,0.6475004
0.3524996,0.6475004
0.35553837,0.6475004
0.3524996,0.6475004
0.62878436,0.6475004
0.3524996,0.6475004
0.62878436,0.6475004
0.3524996,0.6475004
0.3524996,0.6475004
0.3524996,0.6475004
0.3524996,0.6475004
0.3524996,0.6475004
0.3524996,0.6475004
0.3524996,0.6475004
0.62878436,0.6475004
0.62878436,0.6475004
0.62878436,0.6475004
0.3524996,0.6475004
0.3070469,0.6456986
0.62878436,0.6475004
0.3524996,0.5886768
