median,iqr
0.11379123,0.07079532206058502
0.56211764,0.10941166639328002
0.45969778,0.6261437630653381
0.497128,0.06304658412933349
0.5449438,0.41206634998321534
0.34495062,0.2972855365276337
0.34495062,0.2972855365276337
0.40497667,0.3472611403465271
0.6401007,0.018849322795867922
0.30068833,0.17744816303253175
0.35644597,0.01978606939315796
0.64355403,0.012636194229125977
0.64355403,0.012636194229125977
0.64355403,0.012636194229125977
0.64355403,0.012636194229125977
0.64355403,0.012636194229125977
0.64355403,0.012636194229125977
0.20572168,0.08594960927963256
0.43067667,0.031012574434280397
0.46457064,0.13396785616874696
0.64355403,0.012636194229125977
0.64355403,0.012636194229125977
0.64355403,0.012636194229125977
0.2934277,0.04815096616744995
0.64355403,0.012636194229125977
0.356588,0.018360326290130617
0.64355403,0.012636194229125977
0.356588,0.018360326290130617
0.64355403,0.012636194229125977
0.356588,0.018360326290130617
0.64355403,0.012636194229125977
0.356588,0.018360326290130617
0.64355403,0.014067227244377136
0.356588,0.018360326290130617
0.64355403,0.012636194229125977
0.356588,0.018360326290130617
0.64355403,0.012636194229125977
0.356588,0.018360326290130617
0.643412,0.018360326290130617
0.356588,0.018360326290130617
0.643412,0.018360326290130617
0.356588,0.018360326290130617
0.643412,0.018360326290130617
0.356588,0.018360326290130617
0.64355403,0.012636194229125977
0.64355403,0.012636194229125977
0.64355403,0.012636194229125977
0.356588,0.018360326290130617
0.46020004,0.02753339171409607
0.64355403,0.012636194229125977
0.356588,0.018360326290130617
