median,iqr
0.09353328,0.09703111112117767
0.39047283,0.03582439035177231
0.14969972,0.1572122073173523
0.2427416,0.107598597407341
0.17643997,0.22488069742918015
0.11630884,0.13643137574195863
0.12006211,0.14709118962287904
0.09985793,0.10957361221313476
0.030737877,0.03719354629516602
0.2473455,0.28138981223106385
0.32735538,0.49476120084524156
0.4145838,0.029632793962955477
0.41395593,0.029383370876312258
0.41394335,0.02939712464809418
0.4138514,0.02938113570213318
0.41395092,0.029460089504718782
0.41391984,0.0293883553147316
0.14849871,0.1418049244582653
0.0841389,0.5174509680271149
0.30031735,0.2660909688472748
0.41300642,0.029240505993366243
0.41395843,0.029429244101047518
0.41284347,0.029288800656795504
0.13878351,0.09300275355577468
0.41395053,0.02940104365348816
0.0885191,0.026537442803382875
0.4139342,0.029423291087150576
0.08660263,0.023979926705360415
0.4139732,0.02938992738723755
0.073090255,0.022498557567596437
0.41297618,0.02925470679998398
0.08556542,0.022701794505119326
0.41394848,0.029380249083042147
0.07899058,0.020085016489028933
0.414028,0.02941429823637009
0.08312902,0.019961411356925966
0.41396672,0.029440084695816042
0.40253025,0.8456055170297623
0.41397953,0.02939484477043152
0.08318061,0.02163458824157715
0.41357365,0.029429199397563936
0.07659173,0.020192677378654482
0.4139905,0.029394777715206148
0.07312608,0.02436641812324524
0.4139382,0.029411474466323854
0.4139479,0.029433483481407167
0.4139157,0.029401058554649355
0.08102286,0.021652067303657534
0.40418375,0.0865765905380249
0.4139608,0.02939237862825394
0.41393563,0.029395366311073305
