min,max
4.2915344e-06,0.76693773
0.00049847364,0.90025073
1.1026859e-06,0.69000363
0.045947313,0.6191912
1.3113022e-06,0.8371443
4.172325e-07,0.582898
1.847744e-06,0.58982325
1.3411045e-06,0.6876037
2.9802322e-08,0.68257225
2.9802322e-07,0.58446205
8.940697e-07,0.9590723
0.012834549,1.0091908
0.37016115,0.45930153
0.3703047,0.46322465
0.37011737,0.5850034
0.3699151,0.46451014
0.3708382,0.58860046
4.7683716e-07,0.84698373
2.682209e-07,0.96407574
3.874302e-06,0.95885915
0.36989695,0.9880922
0.37023127,0.47950268
0.3703409,0.98485196
9.536743e-07,0.5358106
0.37006712,0.46507478
0.0013976097,0.9711733
0.3705474,0.98488915
0.0028426647,0.9719887
0.36938435,0.92567116
0.0015975237,0.97594476
0.36985752,0.9509096
0.021888256,0.9725046
0.37015992,0.9686823
0.0048322678,0.97382045
0.3698514,0.9839959
0.00022047758,0.97321093
0.37035942,0.6232627
0.019747972,0.9788712
0.37022507,0.96898985
0.022972345,0.97491205
0.37048507,0.9684099
0.0005771518,1.003066
0.370502,0.694044
0.021984696,0.97492087
0.3691414,0.462808
0.37028703,0.4635414
0.36997902,0.59736896
0.01011014,0.97446454
8.240342e-05,0.9548872
0.37010008,0.45714816
0.370403,0.46278203
